,comment
121,اللى عمل الاوردر ايده كانت هتتقطع لو حط كاتشب؟ ازاى محل برجر مايبعتش كاتشب حاجه قرف
122,الاكل بارد والبطاطس تحميرها ضعيف وبدون طعم
123,الطعم مش حلو و بارد
124,fries were soggy. the food generally was not fresh.
125,Tasteless
126,الاكل ساقع جداً
127,👍
128,قطعه الفراخ متشبعش طفل عنده سنتين
129,still the food not good i swear if the food came not fresh and old I will post it on social media and make a problem with you
130,كله حلو
131,the mayonnaise was missing from the order
132,the food was taste like shit and the fries oily and old and the sandwich bread was like rock please make the food next time better
133,"The food was cold, the fries were no longer nice because they were cold, and the ice in the drink had completely melted and the cola was watery"
134,The menu is wrong! Missing positions during several months!!! Update your menu! Don’t be lazy! Very bad!
135,الاوردر مجاش اصلا وخدو فلوسو
136,كنت طالبه كولا ماشين و جاتلي ليتر و اتأخر جدا
137,الطلب موصلش أصلا
138,Bug in food
139,كان مكتوب الفاتوره 570 و الطيار خذ 580 وين مصداقيه السعر ف الموقع؟
140,البيبسي زيرو كان ناقص لحد نص
141,اللي وصل الاوردر حطلي الميلك شيك في السبت و كان مفتوح و اتدلق كله في السبت فا لو سمحت اللي هيجي يتأكد ان الحاجه مقفوله كويس و يحطها براحه
142,The best
143,المندوب وقع الحاجات بتاعتي في الرمله وكان واقف بيمسحها في هدومه مش فاهمه ايه ده بصراحه
144,a very good guy and fast delivery food and the sandwich was bigger than before and hot
145,لعنة الله عليكم يا كلاب الصهاينة ياللي لسه بتطلبوا من المكان المقرف ده يارب تصيبكم دعوة ومن عاونهم
146,r
147,chicken fillet كان نئ ووحش جدا
148,Incredible ! You even put caramel in the McFlurry🤩 as if you know I like it. Thank you!
149,it was very cold and the taste was awful 😖
150,الاوردر وصل عندي بمشروبات غير اللي طلبتها والبطاطس وحشة جدا
151,ice cream was expired all of it was if I could rate it a 0 star I would
152,ت
153,fries portion was small
154,g
155,الاسعار بقيت غالية اوي مقارنة بالطعم فين ماكدونالدز بتاع زمان ؟
156,I ordered chocolate and extra strawberry. But you put extra chocolate. You made a mistake
157,اسوء أوردر
158,The big tasty sauce didnt come
159,Order came cold and fries very bad and sandwich with sauce ( meanwhile i asked for it plain)
160,Order hasn’t arrived
161,تأخبر ساعتين على التوصيل جدا سيء
162,"It is a shitty restaurant. It must be from 1,but it's a definite zero."
163,The food was so cold and the drink was spilling
164,Items from the app are not available. Very bad
165,my drinks and 2 ice cream came melted down like water
166,The driver dropped my large cola machine and i still payed the price
167,Hvggv
168,🤍
169,the bun is burnt
170,gooddd
171,الاكل سئ وبطاطس نية والبيبسي مدلوق واوردر سئ
172,مجاش تشيكن ماجدو جي بداله تشيز برجر
173,الناجتس مجتش اصلاً
174,تحفه
175,"The order was so cold and the fries was terrible,"
176,الاكل كان بارد جيداً والسائق اتأخر
177,الاكل مكانش فريش
178,Food was cold !!!
179,الاكل كان فيه حشرات اهتموا بالأكل شويه انا بحب الاكل من عندكوا
180,انا استنيت الاوردر اكتر من ٣ ساعات ونص
181,كان فيه شعرايه فى الاكل والاكل طعمه سى جداا
182,"Everything was perfect , driver was so nice"
183,الاوردر وصل بعد ٣ ساعات وحاولت اكلم المطعم كذا مرة وانتظرت كتير على الهولد ومحدش بيرد الخدمة كانت سيئة جدا وده غريب على اسم زي ماكدونالدز
184,-
185,لقيت شعره فال Sunday والعلبه مغلقه حاجه سيئه جدا جدا جدا واخر تعامل ليا مع الشركه.
186,sausage meat tasted funny
187,"spoiled ice cream, and fries not fresh"
188,الاكل معمول بعك ومفيش صوص في السندويش
189,الاكل بارد جدا
190,Not fresh bread Cold food No tomatoes Quality was low for this order
191,بسبب عرة جدا؛ كلبت اوردر بيقولي هبعتلك حد ياخد ديبوزيت او زي مقدك قبل ما يعمل او يجبلي الأوردر. دا زي جدية حجز يعني ولا ايه! انا مش فاهم ايه الحركة العرة دي. زائد هو ايه اللي يضمن انك خدت مني فلوس دلوقتي يعني، هو براند تحت السلم ولا ايه!!!؟
192,ridiculously small muffin
193,👍🏻👍🏻👍🏻
194,البرجر محروق و العيش بايت و جاي من غير طماطم و لا بصل
195,paid for 3 hash browns and only got 2
196,كأنه بلاستيك
197,didn't recieve the order was charged on it anyway
198,"McDonald’s chain in Egypt has lost its mind jacking the prices of a burger to 400 pounds, not including fries or drink. Only fools would pay such a ridiculous amount of money for a burger sandwich (junk food)"
199,الاوردر جه ناقص
200,البطاطس مش طازة
201,food looked squashed. fries tasted like been in an ash tray. threw them out
202,الاكل برضو بيجى بارد
203,The whole order came very cold and the fries was so so saggy as if its been 2 days its fried also the chocolate sauce in the ice cream snd milk shakes tasted very bad the chicken caesar salad was okay only the chicken looked so bad and it was very s...
204,الاكل بارد والبطاطس مزيتة وباردة والايس كريم سايح
205,3 hours late vold food
206,"the macdo didn't taste good, but the other two sandwiches were great"
207,بجد اسوا مره طلبت من ماك
208,مشكله و مش اول مره تحصل الاوردر يكون مدفوع فيزا و الفلوس مسحوبه تمام و المندوب يلاقي بنت صغيره تفتح الباب يقولها عايز الحساب و ممكن طبعا اللي يفتح الباب يحاسب تاني مش اول مره و حركه مكرره
209,not fresh cold food!!
210,Nn
211,The food is not fresh
212,"The food wasn’t fresh at all it arrived cold, the Sprite was all watered down, and the fries were dry and tasteless. Honestly, nothing was right. If I wanted disappointment, I would’ve cooked myself."
213,حلو
214,بااررررد
215,the food was not fresh even the friess they were cold
216,The order came very late and I had to contact the support
217,everything melt before eating
218,Cold food
219,اللي عمل الاكل كان حاطت في ايده برفيوم تقريبا و كارف علي الاكل كله و طعمه كحل و حاجة تقرف
220,excellent 👌
221,jq
222,الاوردر وصل بعد ساعة وتلت
223,"Cold, late and awful taste"
224,The sandwich was cold
225,Nice
226,الاوردر مجاش اصلا امبارح!!!
227,I didn't receive any orders
228,الساندوتش جاي مليان كاتشب وانا بكرهه الكاتشب والفرع اللي وصلي امبارح هو الوحيد اللي بيحط كاتشاب مع اني باكل شبه كل يوم من عندكم ومحدش بيحط كاتشاب بالطريقه دي ومجلد ومدلوق ف العلبه كل محتوياتو والبطاطس ساقعه جدا ومجلده
229,There’s no big tasty sauce in order however I payed it
230,البطاطس بارد
231,taste too bad and not good at all in all the sandwich
232,No katchp
233,الاكل جه بارد جدا
234,MY FAVORITE Food
235,الاكل كله جاي بارد ومالهوش طعم ده غير انه فضل ساعه ونص لحد ما جيه اسوء اوردر بجد جالي !!
236,بعيدا عن المقاطعة عشان انا مقتنعة مية في المية انها ملهاش اي تأثير علي الكيان الصهيوني .. التعامل معاكوا فعلا يعتبر سفه و قلة أدب والله..
237,hh
238,Really good
239,نفسي تشيلوا صوص التارتار من المنيو عشان دي مثلا تالت او ٤ مرة الاقيه متاح و اطلبه تبعتولي انه غير متاح بعد ما اعمل الاوردر
240,Food was cold
241,الاكل بارد جداً و كانت ريحة الفراخ و طعمها وحشين
242,food was cold
243,Bb
244,the food came cold and tasted stale
245,Order took 60+ mins while the location is 10 mins away. New feature which is one of the nuggets is eaten. Typically cold and oily Macdonald’s fries
246,الاكل بارد ومجلد كانه بايت
247,البرجر عامل بالظبط زي ورقه السيجارة
248,أكل دائماً بيوصل بارد مثلج مثل كأنو معمول قبل يوم
249,the food came very late .
250,الميلك شيك طعمه سئ جدا مفيش شيكولاته خالص طعمه مياه
251,food was not very hot
252,No straw for the 3rd time
253,ه
254,الاكل بارد جدا والبطاطس وحشه ومجلده
255,great
256,"The branch appeared to be in zone, and indeed it was a few minutes away but they refused to deliver"
257,ic cream wa malted
258,I didn’t receive my order
259,Gamed
260,كان سيء جدا و البطاطس مزيته و غير مستويه و الاكل بارد و متاخر
261,the delivery was very fast he didn't ask us to get him in the elevator or anything and he was so nice
262,I need someone to call me
263,No wrapping even on the big tasty It took too much even though the delivery came on foot
264,Gamed fash5
265,الاوردر مجاش اصلا
266,Wonderful
267,It takes around 1 hour and 10 mins without notifying me
268,The fries was not hot
269,دايما الساندوتش يجي كل حاجه واقعه منه
270,الاوردر وصل متأخر وكان بارد جدا
271,الاكل بارد و بايت
272,طلع شعر من السندوتش .. و طلبت ٢ تشيز برجر مجاش و جيه بداله تشيكن ماكدو
273,Never got the order
274,Z Food as always cold & didn’t taste that good
275,الساندويش كان متبهدل من جوا جدا والصوص في كل حته ياريت ترجعوا الباكيدينج بجد اللي كان بيغطي الساندويش والبطاطس كانت كلها معجبه ولازقه في بعض لكن الطعم حلو اكيد 🤍
276,ماكدونالدز اتجنن. فاكرين نفسهم بيبيعوا كباب و كفتة. الواجبة بقت ب ٣٥٠ جنية و المغفلين لسة بيروحوا يشتروا
277,"For some reason all of got sick after we ate, and the taste wasn’t that good"
278,All
279,مقاطعة يا جماعة انتو نسيتو ؟؟!!!!! عشان مصر عشان بلدنا كلو من اي حته تانية غير المطعم المعفن ده عندكم بافلو و دوشكا و ويليز و احلى منه بمليون مره
280,"good food, 3 weeks in a row no big breakfast. take it off the menu then."
281,اسعاركم غاليه اوى
282,very bad
283,البيبسي جاي مدلدق ومش ساقع نهائي السندوتش حرفيا فاضي الدليفري بقوله حسابك كام يقولي معرفش شوفي عندك والدليفري رغاي وخلاني ألف ع الشركه كلها عشان اجبله فكه لانه معهوش 50 باقي فلوسي والمفروض دي مش مسؤليتي اني ادورله على فكه وانا ف شركه مش ف بيت مكانش ا...
284,The worst fries ever cold and tastes like boiled potatos And a very small amount of the tasty sauce
285,الايس كريم كان سايح
286,"overall the driver ruined my order PLUS the shop sent me half eaten sundays. finally, the vanilla milkshake didnt have vanilla ice cream in it at all and was basically unsweetened milk since it didnt have neither ice cream nor sugar!!!"
287,Order was closed cold
288,البطاس كانت عايز تكون مقرمشه شويه بس مفيش مشكله متعوضه شكرا❤️
289,Taste not good
290,Super late delivery considering the restaurant is 7 minutes away from me.. sundae came melted already
291,ارجو ان يكون وقت التوصيل
292,البطاطس كانت سيئة جدًا
293,زفت
294,Missing packet fries
295,الأكل بارد جدا
296,very late according to estimated time and also helping center has very slow response
297,انا طالب الاكل بيف و جايلي اتشيكن
298,البيج ماك زفر و ريحته و حش تشيكن الماكدو طلبت ازالة الخس و المايونيز و جه عادي بالخس و المايونيز بصراحة تقييم الاوردر صفر من عشره اول مره ماك يبقى بالسوء دا
299,الاوردر اتأخر جدا و الأكل طعمه وحش و محروق و دي مش اول مرة و مش هكرر التجربه تاني ابدا اخر مرة فعلا اطلب من الفرع دة
300,the vanilla milkshake barely had any icecream it was millk with sugar and not really sweet to... the sandwiches were old and i could smell that microwave smell.
301,دائما تأتي بدون عصير
302,"The food was amazing, but i got the delivery 3 hours late due to a “problem in the system” and there was no support i could call."
303,…
304,الاكل اليوم كان سيء
305,تواصل بطيق. من فرع لينا
306,The order taking so long to order
307,طعم وجودة الاكل وحشة
308,Undercooked food Wrong items Terrible customer service
309,Done
310,Order was late
311,جالي بارد بعد ٣. ساعات
312,الاكل بارد جدا و وصل متأخر
313,تمام
314,Awful quality
315,I received my order after 3:30 hours !!
316,food was too cold and was added in a random way
317,The cheeseburger was very bad as the meat was not cooked
318,cold order
319,The food wasn’t fresh
320,بقا اسعاركم غاليه اوى ومافيش عروض حلوه خالص وخدمه التوصيل والضريبه عاليه اكتر من ٤٠ جنيه ليه عشان بلاش ا فتره على الناس
321,"sandwiches taste no good, fries oily and not hot"
322,big mac small
323,الاكل بارد و مش طازه
324,Value offers on app
325,الاوردر ناقص صوص البيج تاستي ومدفوع تمنه
326,The driver was so polite and professional he went bk to get us the caramel sundae and even got an extra one as a gift form the branch manager which was so kind 🥰🥰
327,الدجاج ني
328,البرجر كانه متسخن ناشف من الطرف كله والاكل بارد
329,كواليتي وحجم الرجر بقى ضعيف لكن الوجبة كويسة
330,Soggy fries
331,طلبت الساندوتشات من غبر خس و الحاجه جت بارده والبطاطس مش معموله جديد
332,The food said it came when it didn’t so I had to call the restaurant and fix the problem my self
333,ده انتو مطعم زبالة
334,الاكل كان بارد ومجلد
