,comment
85,the pasta is not bad but the crispy chicken is not seasoned at all and soo dry
86,smaller portion for more money
87,الباستا مش افضل حاجة و البرجر ملهوش طعم خالص تجربة سيئة جدا بصراحة
88,It was an white sauce one not chinese and it tastes like shit
89,طلبت مشروم اكسترا والمكرونه جت من غير مشروم وحاسبني عليه
90,انا دفعت لاضافة فراخ كرسبي و صوص وعبايتي لم يأتوا
91,they gave a fries instead of pastaweesy bites
92,النودلز مش حلوة و فيها طعم زفارة فى الفراخ والفراخ قليلة جدا !!
93,"the food tastes very bad, it tastes rotten and not fresh at all. the white sauce mushroom pasta tasted like vomit and the asian noodles tasted very very unpleasant. all my family got sick from the food. never buying anything from here again"
94,المكرونه طعمها سئ و بايته والمشروم لونه اسود وغريب والفراخ طعمها مر وحمضان
95,بجد سئ جدا جدا جدا الطلب كله غلط ، طالبة إضافة حاسبنى عليها ولم يتم اضافتها، طالبة مرندا تفاح جاية بيبسى كلمت خدمة العملاء ولا فى اى مساعدة !!!! مستحيل اطلبكم تانى
96,طلبت 2 بستاويسي بايتس وجيه فرايز عاديه + الاوردر اتأخر جدااا
97,it was very late the pasta was putty
98,They’re unclear
99,1- small piece of chicken filled almost 1/3 of the sandwich 2- undercooked chicken
100,I
101,very bad
102,الأوردر وصل مفتوح و الدليفري دقوا عللسلم
103,ال large نفس portion ال regular
104,سيئ جدا جدا جدا مواعيد ديليفري سيئه المكرونه ملهاش اي طعم ولا نكهه السوسيس والله رميتوا نوعه سيئ جدا رديئ والصوص مش باين فيه خالص
105,we received the sauce pasta with crispy chicken is spoiled!!
106,last time for me ordering from this app. no support. delivery came very late with cold order. am deleting the app to make sure I won't order again
107,Ordered a Pepsi but it never came
108,لا طعم ولا نظافه حتي البطاطس متحمره في زيت حلويات و فيها حاجات مسكره للاسف كنتو زمان حلوين
109,Tastes like intentional throw up pasta sauce 🤢
110,Ordered penne got smth else
111,الاكل كان طعمة حلو اوى بس كمية الفراخ مش كتيرة
112,الاكل كان بارد جدا
113,الاكل سئ بجد
114,مكرونة ماتتاكلش اقسم بالله البطاطس تتبيلتها كويسة بس ساقعة مجلدة مع اننا في صيف
115,سي
116,جميل لكن ياريت الساندويتش الصيامي البطاطس يكون اكبر شويه انتو صغرتو حجمه
117,جالي قبل الفطار بساعة
118,تغليف زي الزفت والحاجة واقعة وقرف
119,"Food came an hour early. By the time we can eat it will be cold, you guys need to fix your operational issues."
120,Great
121,الاكل بارد و طعمه يقرف و الساندويش العيش مقطع و حاجه زي الزفت الحقيقه دا غير تاخير الدلفري المبالغ فيه مش هاطلب منه تاني
122,Didn't taste if anything the sauce and the cheese were mostly tasteless
123,everything was great
124,اسوء مكرونة شوفتها!
125,Ordered diet pepsi received normal one
126,الاكل كان سي جداا
127,الاكل سئ جدا وبارد واقرب لاانه حامض أو بايظ
128,the food was hot and tasty
129,Pasta could be better burger was good
130,الاكل مكانش زي الوصف و جيه بارد و اغلي من التمن المستحق له
131,"The food was cold, the portion was very small for a large order and it took so long to get the order."
132,بجد حاجة بشعة، المكرونة الاسباجيتي الريد سوس معجنة، و قطعة البانيه صغيرة و دلعة جدا و الاكل طعمه استغفر الله العظيم
133,السجق كان قليل جدا جدا فى الطبق البسطرمة كانت حادقة
134,The pasta tastes like they meant to make you throw up 🤮
135,الكميه مش احسن حاجه بس لزيزززز
136,الاكل سيئ جدا حاسه اني هرجع و جيه متاخر اوي و بارد جدا
137,تجربة سيئة للغاية الاكل طعمه وحش جدا المكرونة وايت صوص كانه دقيق محصلش بشاميل بيتي المكرونة ناشفه والاكل جه بارد بالتالي مكتل كانه بشاميل مش مستوي خساره الفلوس اللي ادفعت في اكل ما يتاكلش
138,هيا دي بجد فراخ ولا شيء مصنع ؟؟ جلده جواها لحمه بيضه مفصولين عن بعض شكلها عجيب ومالهاش طعم !! المفروض أكل بنتي منها ؟ انا باكل من عندكم من اكتر من ١٢ سنه اول مره اشوف القرف دا
139,للأسف كان من أفضل المطاعم بالنسبة لي مرة عن مرة الطعم اوحش لما بقى لا يطاق ومكرونة نيه وفراخ ناشفة وطعم وحش
140,الاوردر ناقص صوص الرنش
141,للاسف الطعم مش حلو خالص
142,Worst pasta I ever ate in my life. And cold.
143,التغليف كان سئ جداا جداا والاورد اتاخر وكان بارد خالص
144,ارجوا الاهتمام اكثر بالنظافه في المطبخ
145,سئ جدا جدا جدا المكرونه حرفيا مفيهاش اي فراخ خالص حتى والاسترسبس كان بشع
146,بيستخدموا مشروبات مقاطعة
147,the only negative thing is the delivery is slow
148,very bad taste not ordering again
149,الاكل سيئ لدرجة ان دا اول مرة اقيم الاكل بالطريقة ديه
150,الاكل سيي جدا المكرونه مش مستويه و الفراخ طعمها زفر و الاكل بارد تجربة سيئة جدا و ميستاهلش ثمنه خالص اقل اقل من العادي و الامل كمان وصل متاخر
151,في برجر ناقص
152,.
153,السجق مكنش حلو خالص و السندوتش كان في ريحه حاجه حمضانه
154,Bad taste and un cooked sogo2
155,كمية الفراخ قليلة
156,اي الهبل ده الحاجه ناقصه
157,ده مش أكل يا جماعة دي زباله و مسخنينها … المكرونة الاسباجيتي متكسرة كأنها شعرية و صلصة البولونيز دي مسممة
158,describe all the ingredients specifically
159,تاني مره الفراخ تكون فيها ريحة ظفاره
160,المكرونه نيه وكلها بكتيريا و الأكل سيء جدا
161,الكميه قليله جدا الطبق المكرونه ال L لا يكفي لفرد
162,الساندوتش مطلوب سبايسي، وصل عادي و الغلاف على الساندوتش غير مجكم الغلق كأنه انفتح
163,طالب مكرونة دجاج مشوي جابلي المكرونة وتقريبا نسي يحط عليها الدجاج المشوي اللي قايلين عليه تجربه سيئه انا طلبت اكل تاني
164,المكرونة بايتة مش طازة
165,اسوء اوردر ممكن اطلبه المكرونه عبارة عن بواقى اكل حرفيا وطعمها سئ جدا وكمية الاكل مقابل السعر شئ مزعج
166,الاكل كان ملوش طعم و الصوص يعتبر مكانش موجود كان زى البواقى فى الطبق دا غير ان الاكل جالى متأخر ساعة عن معاد وصوله
167,وحش جدا
168,Et2a5r gdn w geh bard
169,الاكل سيء جدا
170,الاكل وصل بارد و المكرونة كانت تقريبا من غير صوص و مستوي الاكل عامة سئ جدا و تجربة مش هكررها تاني
171,سيئ جدا جدا انتظرت اكثر من ساعه وبل اخير لغو الطلب وقبلها بمره وصل الاكل بارد وطعمو سيئ وتغليفه اسوء واسوء
172,الباستا و الفرايز حايين باردين جدا و الفراخ بقا جاية مش مستوية اصلا و بطنى وجعتنى اخر مرة هطلبها !!!
173,I want to tip the driver
174,"The quality of the meat in Bolognese Sauce is bad compared to the price. The Curry Sauce was bland with just a tiny hint of Curry. Their Idea of ""Spicy"" is just adding pieces of hot pepper to the pasta .. no modifications in the sauce to make it spic..."
175,كل اوردر اطلبه بيزودوا ١ جنيه مش فاهم ليه
176,الفرع ده مش زي باقي الفروع خالص
177,الطعم سئ
178,الاوردر جع كله غلط و بارد الواحد كره انه يطلب اون لاين
179,the spaghetti was not good at all not well done and there was no taste in it
180,"Item missing,the fries is missing"
181,"the food was cold and it take so long to arrive,the potatoes wasn’t like the picture"
182,"The drink wasn't what i placed in the order, i have ordered 3 7 ups and received 3 Pepsi instead!"
183,The food was so hot and perfect
184,The order was hot and very delicious. Thank you🧡
185,"My order was included two sauces, and I didn't receive them"
186,It was sooooo bad
187,مش واو .. عاديه زي اللي بتاكلها في اي مطعم مذ مشهور
188,الاكل سئ جدا صوص الكاري مش موجود طلبت اضافة جمبري ولما يتم اضافتها
189,الاكل جاي ناقص و طالب مشروب جالي حاجة غيره و الاكل جاي نص ساعة متأخر عن المعاد
190,..
191,سلطة سيزار سيئة جدا الفراخ محروقة و العيش طري و معجن
192,المكرونه معجنه و ملزقه
193,the penne was RAW very few and small chicken pieces
194,الكمية قليلة و جودة اللحوم أقل من المتوسط
195,الطعم مش حلو
196,الاكل تحفه وجميل 🥰😍😘
197,I payed for red sauce i received the order without red sauce
198,pasta is very bad
199,الأكل ملزق وبارد بسبب التأخير … الشوكة اتكسرت من كتر ما الأكل نشف من السقعة …
200,الي كان جايب الاوردر مش كويس دي كلمه قليله
201,الطعم وحش جداً الصوص الابيض قليل جداً والفراخ مش مستويه
202,الاكل وحش والواد النصاب عامل معهوش فكة عشان ياخد الباقي كله
203,Very bad quality and portion
204,The pasta didn’t taste good /the fires half the packet only and the pasta leaked
205,مستلمتوش … انتو بقيتوا مطعم سيء جدااااااا للأسف
206,ممتاز 🥰😍😘
207,البطاطس ناقصة و مش محطوط فيه فراخ و جمبري كتير سئ بجد
208,وصل متاخر جدا
209,أنا علي طول بطلب مكرونة فرن سجق وبسطرمه من عندكم اول مره تيجي طعمها وحش كده
210,الطعم جميل كالعادة ، فيما عدى ذلك من أسوأ التجارب بحياتي ، الأكل استغرق ساعتين وعشر دقايق للوصول ووصلني بارد ، الصوص قليل جدًا والباستا ناشفة ، الموزاريلا كميتها ما ادفع عليها 2 جنيه حتى رغم إنه بالسابق الكمية محترمة وجيدة ، تجربة لم يتم إحترام العمي...
211,اكل سئ و المكرونة معجنة و الفراخ حتت صغيرة جدا و البطاطس محروقة
212,الاكل سئ جدا
213,كويسه بس السعر كتير اوي عليها الحقيقه
214,مقاطعه بيستخدم كولا ومنتجات من شركة بيبسي🔻🔻 متشاركش ف دم اخواتك🇵🇸
215,بارد ومش مستوي كويس
216,الاكل مرمي و مقلوب !
217,الكميات غير متناسبه مع السعر
218,الاكل بارد والبطاطس متلجة البسطرمة كانت محروقة للاسف الاوردر لاول مرة يكون سئ
219,"Waiting time was short and the courier was nice, the sauce tasted so good and the chicken too…but pasta itself was cooked too much and it was all matted together"
220,الاكل كلو سيء جدا مش موضوع تجربة الموضوع باستا بتجيك بعلبة صغيرة مكدسة تكديس حسيت اني طالب عجين مش باستا وطعم الله لا يرويكن سيء جدا نصيحة لا حدا يطلب مطعم هاد عطيتي انا كذا فرصة الوضوع زي ماهو سيء للغاية
221,الباستا وحشه جدا اللي بنعملها في البيت احسن كتير و الصوص مش مندمج مع المكرونه و المكرونه كلها نشا و ماسكه في بعضها و بصراحه وحشه اوي غير ان ساندويتش البرجر وحش جدا
222,بجد شكرا قوي على ملاحظتكم للتوصية 🙏🙏🙏❤️
223,المشكله ان المكرونه وايت صوص الصوص قليله فيها الطعم مش غنى بالصوص فكره قطع الدجاج دى حاجه نسبيه والمكرونه مش مسلوقه بشكل كافى
224,سيء
225,السندوتش كان نصه فاضي طلبت تبديل المكرونه اللي بصوص احمر لانها بايظة قاللي مع الطلب القادم لان ميش دليفري الساعة ١٠ بالليل يا ريت يبقى في بدايل أخرى غير البيبسي زعلانة جدا على بسطاويسي لانه افصل مكان بيعمل مكرونة بالنسبة لي.
226,we did not get delivery
227,الطعم سئ جدا بالنسبة للسعر الصوص الأبيض طعمه سئ للغاية
228,👍
229,Chicken isn’t fresh 🤦🏻
230,مكرونة نية ، وايت صوص سيئ، كمية قليلة مقابل السعر
231,المكرونة ناشقة والصوص محطوط فوق المكرونة مش المكرونة كلها وطعمها وحش جدا هي والفراخ
232,الضرائب والتوصيل اكتر من ٥٠ جنيه لابجد السعر الاجمالي غالي جدا يخساره
233,اخر مره الجمبري كان قليل جدا كانت نفس كميه الطبق الاصغر تقريبا
234,اكل لذيذة الحجم معقول الحجم من غير ما يكون في فايض.
235,زفت الاكل جاي بارد و بعد ساعتين بجد حاجه اخر قرف
236,Food was a mess and no Ketchup or gloves were included.
237,Cold
238,T
239,"Bolognese didn't have the extra I ordered and it tasted so bad, also I ordered the sandwich without lettuce and it came with lettuce"
240,انا طلبت مكرونه صوص احمر بفراخ كرسبي الاكل جابلي تسمم عندي اسهال وترجيع ودوخه
241,كنت حابب اغير طريقه الدفع من كاش الى برومو كود وكلمت الدعم موصلتش لنتيجه
242,انا طلبت مرتين قبل كده بس المرة دي بجد سيئة طلبت عصير تفاح ومكرونة بنا بالكاري وفراخ كرسبي حجم كبير العصير مجاش وللاسف صوص الكاري مكنش له اي طعم الفراخ بس هي اللي تتاكل بس كانت قليلة وده غير الشوكة مش متغلفة ومرة مجتش اصلا
243,ممتاز
244,اسوء تجربة و هي الاخيرة، الباستا جاية حمضانة، اتقوا الله القرش بتاعكم حرام
245,السجق كان محروق ف المكرونة
246,"Paid 50 egp for extra crispy chicken, only got10% more than they always put by default 🥲"
247,دافع ٦٠ جنية زيادة على الاوردر عشان ازود الكمية .. وجالي نفس الكمية العادية
248,Very small and very bad taste. Not ordering from them again. Can't even cook pasta.
249,Very few shrimps in the regular pasta. Fettuccine was very sticky in the large pasta. I’m disappointed this time in the order.
250,beverage was warm pasta should have been more cooked
251,الفراخ مش مستوية جايبينها نية
252,الجمبري سئ جدا و ناشف و محروق
253,"Order is open not closing or packaging well Dry no adequate sauce, i ordered extra mozzarella topping but I didn’t found any mozzarella"
254,Payment came much higher than on app
255,very bad pasta an experience I won't repeat and the wrap was normal
256,الاوردر ناقص الكانز Shrimp is ivermectin cooked and so little quality
257,"Very bad quality of food, really bad pasta"
258,طلب إضافة صوص شيدر مش اتضاف ،الوايت صوص قليل جدا ،وطعم المكرونة مش افضل حاجة 😐
259,طلبت مكرونة مع فراخ مشوية كان طعمها سئ جداً و جاية مقلوبة
260,the food was too bad
261,"Very bad test, cold pasta and fries!"
262,بطلب نفس الحاجه كل مره(مكرونه فرن بالفراخ المشويه و اكسترا مشروم) و الجوده ثابته وجيد جدا
263,I’ve paid extra 15 le to get juice instead of pepsi and at the end delivered pepsi
264,الصوص قليل جداااااااااا والمكرونه ناشفه
265,The pasta was raw & this is not the first time & it was oily more than it should
266,Small portions
267,دليفري محترم اديته فلوس زياده و رجع رجعهم جزاه الله كل خير
268,مكرونه حلوه بس كميه الموتزريلا والماشروم قليله
269,سيء جدا والكميه غير كافيه مقابل السعر المكرونه وحشه
270,جميل جدا
271,It was late and i got sick and still sick from this order
272,Pasta was soooooooo dry
273,الطعم سئ جدا كأنه سلق شويه مكرونة ورمى عليهم شويه كريمة طهى مش حلوة ومش هجبها من هنا تانى للاسف .
274,Ok
275,الاوردر واصل ناقص
276,food was hot and fresh but bad taste
277,Taste is not as good as expected Price is a bit high
278,الطعم سي جدااااا منصحش حد يجيب سيزار سالاد
279,حاطين رائحة الماشروم المفروض الطلب لمحبي المشروم ومافيش ماشروم؟؟؟؟؟!!!!!!! خسارة الفلوس
280,The cost-to-quality ratio of the meal was unsatisfactory.
281,اوحش اوردر اكلته فى حياتى وميستاهلش الفلوس اللى ادفعت فيه ومفيش اى جمبري خالص والله ندمت ان طلبت منكم
282,المكرونة حلوة ككمية و طعم و لكن عجنت مع الصلصة. البرجر حرام فيه مليم بجد. كاوتش مش برجر.
283,الاوردر ناقص
284,pastaweesy is great but elmenues i have a big issue with them
285,المكرونة داوود باشا كانت حمضانة و ريحتها وحشة
286,اكلهم اسوء من السوء
287,صراحة توقعت طعم تاني، لكن الصوص مكنش لذيذ خالص والفراخ
288,"Wrong order ,no more chances MFs"
289,التوصيل متاخر
290,It was very Good it was creamy and the cheese was rich and the pasta was so good (thank you) gyus
291,مش مقاطع وطلبت عصير ودفعت 10 ج زيادة ورغم كدا جاه بيبسى وكاتشب هاينز
292,Burger bun was burned and bread was old
293,Awesome
294,أسوأ اوردر في حياتي
295,"The order was delivered by mistake to another driver without making sure the delivery code. that leads to preparing my order again and being too late to deliver. another thing, I had finally received my order with no fork or a spoon or any tools."
296,Highly not recommended
297,I ordered the red sauce with spaghetti it came with penna
298,معجنه وملهاش طعم والمشروب جه غلط..........
299,زباله شبهكم
300,فيه حشره في الاوردر
301,Portion each order got lesser than prev. Order
302,الكميه الصغيره
303,The order is not covered and opened with a dirty fork and cold
304,Too small
305,I had a food poisoning
306,زي الزفت لاني طلبت ميراندا برتقال جالي بيبسي وفي حاجات ناقصه من الاوردر ومش طالب منكم تاني وهعمل شكوه
307,سيئ جدا
308,there's a hair in the fries 🍟 🍟🍟🍟🍟🍟🍟🍟🍟
309,there was an insect in the food
310,Wrong pasta
311,Missing items Taste not as expected
312,انا طالب واحده سجق بسطرمة سبياسى مجتش سبيايسى و تانى حاجة الاكل بارد
