,comment
109,كان يفضل استبدال كاتشب هاينز بنوع ثاني لانه مقاطعة+ شكرا على قراءتكم الدائمة واهتمامكم بالملاحظات
110,One of the sandwiches came spicy with tomatoes
111,very fast delivery
112,I got the snack box rather than the strips
113,عندكم مشكلة صغيرة عدم اضافة صوصات للساندوتشات الموجودة فى العروض معرفش ليه
114,الاكل تحفة و سخن
115,Last order was wrong
116,التتبيله تحفه ياريت متغيروهاش
117,Order is 2 hours late
118,very fast and very good
119,البطاطس كانت ساقعة لكن بقية الاكل كويس
120,الاكل بقي سيئ جدا جدااااا والفراخ اللي كنتوا بتعملوها احسن من كنتاكي بقت سيئة! والفراخ مش مقرمشة وحاجة فعلا في منتهي السوء! مفيش مطعم في اسكندرية بيحافظ علي جودته! ابدا!
121,Small portions and cold food
122,"amazing, it was hot and delicious"
123,"Cold food Second time, not going to order from there anymore."
124,💯
125,2 sandwiches out of 4 were cold
126,الدجاج كانت كلها طعمها كانها بايته اسبوع وحتى كان فيه قطع سوده والعضم كله اسود والبطاطس كانت بااارده جدا مع اني فنفس شارعهم فهي مش حوار التوصيل هما مطلعنها بارده حتى اشيز صوص الي عليها مش سخن ومتكتل والكولسلو وجعلي بطني جدا بعد م كلته !!
127,Msh howa dh el quality eli mt3weda 3lha Chicken really bad Even the rizo
128,العيش ضعيف و خفيف مش ماسك نفسه و معجن و الفراخ مهرية و زفرة و الطماطم حامضة bread is weak and light its cut flaky chicken is maherya tomamto is hamda
129,Will never deal with that restaurant again
130,الاكل جاي بارد وملهوش طعم واخر معاملة ان شاء الله 🙂
131,"Chicken wasn't fresh, and the rice was so salty with sauces on it"
132,Chicken wasn’t well seasoned
133,Taste horrible!
134,تم طلب قطع الدجاج عادي وليس حار ولكن الطلب اللي وصلني للأسف حا ودي مش اول مرة يحصل نفس الغلطة
135,Very small portions.. disappointing
136,no coleslaw in order
137,I found bones inside the chicken The fries are dry and taste bad
138,Rizo kan metbhdel keda w sauce maknsh kter
139,Better than KFC which is Surprising! Wow!
