,comment
66,اسواء حاجة ممكن تطلب من حيث الطعم الفراخ البروست اللى المفروض حار مفيهاش طعك التتبيلة العادية هي عيارة عن فراخ محمرة فى الزيت، الاستريبس كان ناشف جدا جدا، الشاورما سواء اللحمة او الفراخ عبارة عن لحسة قطع شاورما بالعيش و البطاطس كانت سقعت طبعا
67,أسوأ مطعم وأقل جودة طعام شوفتها في حياتي
68,"50 mins late, order was cold and stale because the driver spent 50 mins strolling around before delivery. never again"
69,الاكل بارد و ملوش طعم
70,السندوتش محروق
71,بس كانت طالبه سبايسى و جالى عادى
72,Spices on grilled chicken
73,الكوبيبة جاية فتافيت حرفيا و سيئة جدا منصحش اى حد بيه
74,Bad
75,الطلب لم يصل
76,الطلب وصل بعد ساعتين والطيار وصل لعنوان غير عنوان والكل بارد اخر مرة اطلب من المطعم ده لان هما مش محترفين بالمرة سئ جدا جدا
77,اكل حرام فيه الفلوس اللي اندفعت
78,"very bad, l didn't eat at all, l just lost my money. سئ للغاية ، طلبت شاورما لحم و سمبوسك جبنه و فطيرة قشطة بالعسل ، كله سئ للغايه لم أستطع أكل أي منهم ، خسرت فلوسي"
79,Was very baddd
80,"Lying on delivery time. 2 hours of waiting, and at the end the food was cold"
81,وحش اوي
82,الاكل سيء جدا جدا جدا جدا و مش مستوي و جوده اسوء ما يكون
83,طالب الفته ميكس جايه فراخ بس .. فراخ قليله جدا و رز قليل جدا .. عيش بس و جبنه قليله جدا جدا .. سيئة لاقصي درجه
84,الاوردر اتاخر اكتر من ساعتين من المعاد المحدد انو يوصل فيه
85,The quality is really bad!
86,اسوأ فتة شاورما كلتها صراحة و اول مرة اشوف فتة شاورما من غير تومية غير الحجم الصغير جدا في المجمل منصحش بالتجربة
87,U
88,كان عديم ذوق وكمان مرضيش يطلع الاوردر ليا لا خلاني انا انزله استلمه حقيقي تجربة مش هكررها تاني ولا هخلي اي حد من معارفي يطلب المطعم تاني
89,انا دايما بجيب من باب شرقي وبيكون حلو بس المرة دي اسوء مرة كلت فيها طلبت فتة شاورما لحمة الكميات طبعا صغرت عن الاول وكان بيجي دايما معاه تومية وتومية حارة و مخلل مجاش معاهم اي حاجة هو طبق الشاورما بس 👎🏻
90,الفاتورة حسابها ١٦٤ و الابليكشن كان أقل
91,Love it
92,سيء جدا ..جالنا نزلة معوية وترجيع منه ده غير الاحجام العينات..
93,الاوردر مستحيل يوصل اخرك تطلبه
94,مش احسن حاجه
95,got the 3 syrian sandwich offer and the meat one was veryy bad the rest weren't great either just average
96,The sandwiches in the offer was too small
97,ساندوتشات صغيره جدا جدا و كميه قليله جدا علي السعر
98,الحساب ف الابلةيشن 150 و المندوب بيقولي 200
99,سعر الشيك غير مطابق لسعر الابلكيشن
100,الاكل سيء جدا بجد 👎
101,تجربة سيئة للغاية ولا يوجد اى قيمة مقابل السعر
102,الطلب كان سىء جدا و لم يتم أكله في الأغلب الطلب تم تسخينه و قليه في الزيت اكتر من مرة و قطع الفراخ كانت سوداء
103,وجبة شاورمة عربى الفراخ حلوة كطعم لكن لا تكفى طفل صغير .. عيينات حرفيا
104,فوق الممتاز والله الفراخ رهيبة ونضيفه وطعهما حلو جداا
105,order been very came very bad experience
106,بشع
107,Missing item
108,worst order
109,التوصيل بيتاخر جدا وده شيء مش لصالحكم
110,It was spicy I didn’t order it spicy and it took more than 2 hours to arrive
111,excellent 👍🏻
112,Order was missing fries although it is paid
113,سندوتش البطاطس سيئ جدا ومفهوش اضافات غير بسيط
114,البوكس كان متشقلب
115,Not pretty good
116,اقل كميه فراخ شفتها فى حياتي فى بيتزا راتش الدجاج!!!!! لن يتم التعامل معهم مرة أخرى
117,الفلافل سيئة للغاية، سواء الطعم أو التسوية
118,جالي اوردر بمبلغ اغلي من اللطلب بتاعي
119,المشكلة مشكلة المنيوز مش المطعم - الاوردر مجاش والمنيوز كلموني ١٢ ونص بعد ما الاوردر المفروض ييجي بساعة وقالولي هيتابعوا مع السائق ولغاية الساعة ١ ونص مجاش والراجل بكلمه يقولي الاوردر مجاليش عشان استلمه واكلم المطعم يقولولي ان الاوردر اصلاً اتلغى من...
120,Received 2 meals instead of the sharing box!
121,الاكل اتاخر والطعم متواضع
122,the shawerma sandwich had very little shawerma and was mostly bread
123,السعر مختلف
124,الممبار سبايسى جداااا ساندويتش الفلافل فقير اوى والفلافل طعمها مش مستوى كويس ومن غير اى صوص
125,Too late delivery I received the order more than 100 minutes from my request!
126,اوردر زي الزفت متبهدل ومتلج وناسف وجاي بعد ساعه ونص
127,ساندتش الشاورما اسوا سندوتش كلته عباره عن عيش و فيه حتتين شاورما و بطني وجعتني بعد ما كلته مش عارف بسببه ولا بسبب فتة الشاورما الي كلتا جنبه. تجربه مش هكررها ومش هنصح حد بيها
128,I didnt recive the salad bar
129,كاتبين Egyptian pepsi وفي الآخر جايبين بيبسي عادية وهي مقاطعة
130,الشاورما مليانة دهون و زفرة ..ماكنتوش كدة ..دى اوحش مرة
131,The drink is missing!
132,الفاتورة مكتوب فيها مبلغ أكبر من مبلغ فاتورة منيو والطيار أصر على فاتورة المطعم وليس فاتورة منيو
133,I didnt receive pepsi
134,الديلفري طالب ٣٠ جتيه زياده علي سعر الاوردر
135,منظر السلطه و هي مدلوقه و التغليف متبهدل و بايش يقرف ده غير ان الاوردر اتأخر
136,طلبت تومية سبايسي وماوصلتش مع الاوردر
137,worst restaurant ever
138,اسوء اكلته في حياتي اسوء فراخ كلتها لقيت القيته للحيوانات في الشارع من سوء الطعم رجاء ا جعل صاحب المطعم او مدير المطعم. التواصل معي
139,Slow delivery it took about 2 hours
140,ياريت الاكل يجي سخن
141,لقيت شعرايه في الاكل والورق عنب مش حلو
142,الأكل سيء و مش فريش مغطيينه دبس رمان عشان يغطي على الطعم و الصوصات حمضانة و الواحد بطنه واجعاه من ساعة ما اكل. وجع بطن بفلوس.
143,وحش جدا
144,طلبت حاجات معينة فالسندوتشات ومحطوش حاجة
145,cold
146,بارد جدا و عيش مش فريش مفرول
147,Order didn’t even come and restaurant kept delaying till they cancelled after 2 HOURS!!!
148,المطعم بقي سئ جدا اسعارة غليت والكميات قلت شاورما وبطاطس وصوصات سيئة
149,The food was cold
150,the food was very salty
151,والعيش بيشد وطعم الطعميه كان غريب
152,طعم سئ جدا
153,"too late we thought to bring food from other place, was iftar time at 6 pm and food received at 7:10 pm"
154,السندوتش فاضي !! دافع ٢١٥ في رانش و شاورما السندوتشين فضين تقريبا الرانش في حته واحده بس و الشورما الحتت متكملش ٣٠ ، ٤٠ جرام و غالي ؟!!
155,سئ جدا بأمانه الاكل استغفر الله العظيم و فلوس علي الفاضي اول واخر مرة
156,الطعم سيى جدا و الثومية السبايسي وصلت بايظة
157,طلب علي الفطار تم التواصل من المطعم قبل الفطار بربع ساعه لتبليغ ان الاوردر هيتاخر من نص ساعه لساعه الاربع و بعد الفطار بنص ساعه تم التواصل من المطعم ليبلغ ان الطلب الانا طلبته غير متوفر و مفيش غير صنفين مع العلم ان الاوردر كله معمول الساعة ٤ عصرا
158,لم يصل الطعام
159,الاكل مالح زياده
160,الاكل كل مرة من نفس المطعم بيجي ناقص مرة ناقص بيبسي مرة بطاطس مرة العيش الكايزر و الgarlic dip
161,الطعم جيد
162,very low quality of shawerma
163,وجبة اكتر من رائعة
164,Wrong order
165,Didn’t receive order
166,"The worst experience ever it took too long to receive the order, the food was cold even the bread was not fresh…"
167,تمام
168,ناقص توميه و الكلوسلو
169,Fries not good at all
170,هو ازاي اطلب من باب شرقي يجيلي الاكل من مطعم حمزه
171,"Burnt chicken pieces heated more than once i can tell from how hard it is and burnt, bad taste . Very bad experience and waste of money . Definitely won’t repeat it again"
172,انا اول مرة اجربه بجد روعة و تحفة جدا شكرا اوي عالخدمة ❤️❤️❤️
173,The food was cold and very bad quality The sandwich was not wrapped well and very little chicken inside As well as the fries were very oily
174,i didn't receive this order and want a repay
175,The price was different than what was shown on the application and i had to call customer service 6 times before i got an answer and then they said it was extra delivery fees and we will notify elmenus and the driver didnt even have the location i ha...
176,Exceptional Experience
