,comment
73,السبانخ النهاردة دون المستوي و معمولة بدون اتقان و لايوجد بها حمص ... للاسف غير اللي تذوقتها أول مرة .. التغليف سئ و الكبدة مليانة سوائل مع ان الكبدة لازم تكون بدون سوائل
74,السبانخ من اجمل ما يكون ،، اكثر من رااااائعة
75,It was the worst food experience ever. Overpriced food and very bad service from elmenus and Abou shit.
76,الاكل وصل بارد
77,"they charge tax on delivery, food quality was not good, packaging was awful, fe mata3em koshary bete3mel packaging andaf men keda bemara7el"
78,The fetta was horrible
79,الطعم جميل جدا
80,اولا مش طاجن موزة اصلا والطعم وحش جداااا ميتكلش للاسف
81,"Great Service, food and helpful customer service!! Highly Recommend"
82,The driver put the plate in his bag vertically!
83,packaging is very poor
84,كويس وسريع... شكرا.
85,رائع و نضيف و كمية الاكل كبيره .. أكل بيتى فعلا
86,حرام عليكم الصور حاجه والحقيقه حاجه تانيه خالص
87,Too oily and the quality of the meat and its cut is very bad
88,سيء
89,اضطراب فى المعدة بعد الأكل منه
90,where is the nuts !!!???
91,الاكل من المفترض انه اكل سهل بس للاسف وحش جدا البازلاء غير مستوية كثيرة المحل والبهارات ده اخر طلب من هذا المطعم لانه لا يحترم زبائنه ولا يقدم خدمة جيدة مع العلم ان ثمن الوجبات فى الاساس مبالغ فيه
92,الرز معجن و مش حلو و الاكل مكبوب
93,The order was missing 1 rice and 1 chicken.
94,الدولمة وخشة وبايتة الكبيبة كويسة الاكل وصل بارد
95,اوحش اكل و وصل كلو واقع ومقلوب مش مكلفين حالهم وهما بيغلفوا الاكل
96,Khoshari msh helw khales w El portions molokheya w rice soghayara awi.
97,rice muammar tagin was over cooked
98,too much salt
99,"Rice was terribly cooked , milk was soaking with rice. Kebab was not fresh at all. Sausages was not spicy at all , unlike my comment"
100,"The food was cold and didnt send cover ""fork, spoon, salt, pepper ..etc."
101,تجربة لن تتكرر، الاكل سئ
102,Bad experience don’t deserve even the 1 star
103,Great food. Even better if beef heels are more tender. Will order again and highly recommended.
104,أسواء تجربة و غالى على القاضى
105,Delivery took two hours !!! It was an entire hour late !!
106,أكل نظيف ودايما نفس الطعم، أحلى بابا غنوج وورق عنب واللحوم في الطبيخ ناعمة وحلوة، الحمام وشوربة الكوارع مش دايما بنفس المستوى
107,The food was delicious
108,I
109,"very good in general, but one piece of the chicken was dry and was not good."
110,I order the veal fatta and the meat is horrible! It is very chewy not tender at all!
111,Food quality was really miserable am really shocked not expected at all from Abo El Sid
112,فرع مول مصر --يوم السبت 29-2-2020 الساعه 11:30 الصبح تاني مره اجرب الفطار عنده و بصراحه الفول بتاعه تحفه و مميز لانه عامل مياه الفول بالبليله و ده مديها قوام و طعم تحفه ،ده غير تتبيلته المميزه جدا --فول بزيت الزيتون طعمه كان مختلف و حلو جدا بس مازال ...
113,تكمله ريفيو فرع مول العرب يوم السبت 15-2-2020 --طاجن ورق عنب بالكوارع كان مقلب كبير و سرقه علني في كميه الكوارع ما حدش بجيب ورق عنب بالكوارع من ابو السيد،طعمه كويس بس حرامي جدا الطاجن كله مفيهوش غير شويه كوارع محروقه علي الوش،هو بيلعب علي انه الطاجن ...
114,فرع مول العرب يوم السبت 15-2-2020 الساعه 1 الظهر اول مره اجرب الفرع ده و للاسف فرق كبير جدا للاسوء في مستوي الخدمه و اداره الفرع عن فرع مول مصر او فرع داندي مول --للاسف المكان كله مسموح فيه بالتدخين و مفيش اي مكان مخصص لغير المدخنين رغم اني ده غير قا...
