,comment
98,جامد جدا
99,Delivery takes 3 hours!!
100,"One of the additions of the order was wrong, I added strawberries and got bananas instead."
101,من أسوء المرات اللي الأوردر وصلي فيها، الوافل كان وحش جدًا وتسويته وحشة، الفاكهة كانت دبلانة سواء الموز أو الأناناس، كنت طالب إضافة موز وفراولة جالي موز وأناناس، قبل كده لما كان بيكون في نوع مش موجود بيتم الاتصال والسؤال، فرضًا مش بحب الأنانس! تجربة ...
102,ساعه ونص عشان يوصل الاوردر وياريت كويس طعم زفررر شريحتين موز على كيوي فقط ولا كانه دافع فلوس للاضافة اخر اوردر منكم
103,I didn't get the 3 chocolate dippings with the special crepe !!!
104,bad driver asking 4 times about the address
105,The boxes were upside down
106,You should write that it has fruits because I am allergic to bananas
107,Good
108,Food was very good. Smoothies were low quality
109,So average but packaging was very good
110,مبروك فرع مدينتي ايست هاب .. شوكوجيل افضل اختيار
111,Pineapple was bad
112,Late delivery
113,طلبت اوردر المحل كلمنى و قالى مش متوفر و اداني خيارات للمتوفر و اخترت منها .. جبلى حاجا ثالثة خالص وحاولت اتصل بيهم مردوش نهائي كمان انا مختار ٣ اضافات و محاسب عليهم حتي فى الاردر الغلط حاطتلى اضافتين فقط
114,"literally,the best dessert restaurant in Egypt, I hope to try every single type of roll and waffle in the place, wish you the best ❤️❤️❤️❤️❤️"
115,Amazing as usual ❤️❤️❤️❤️ The sauce was very tasty
116,الوافل و الكريب و الميني بان كيك تحفة و عالمي الشوكلاته تحفه بس اتاخر اوي اوي اوي
117,تجربة تعاد وبشدة طعم ولا أروع الله يباركلوا
118,"Best restaurant ever , my favourite see you soon ❤️"
119,الtopings كانت قليلة
120,The ice cream was melted and it tasted very bad
121,The besttttttt everrrrr I love it smmmm🤩🤩🤩
122,الاوردر تحفه جدااا وفريش و متاخرش فى التوصيل بجد مكان جميل جدااا 🤍🤍
123,المكان تحفه والكوالتى رهيبه تسلم ايديكم 🥰
124,Best experience I have ever at cairo🥰🥰
125,المكان تحفة والأكل مالوش حل ماشاء الله عليكم ……تسلم أيديكم
126,بسم الله ماشاء الله حاجة روعة وخدمة جميلة والاهم من دا كلو شغلهم نضيف وتستلم الجاجة باعلى جودة ممكنة وانصج بيهم انا جربتهم وكانت تجربة رائعة
127,خدمة ممتازة جودة عالية جدا فعلا تحفة زي كل مرة 🥰❤🥰
128,كل حاجة حلوة جدا تسلم ايديكم ولمولتن لذيذه 🥰😍🥰😍
129,حاجتكم سخنه وحلوه بجد وجت بسرعه بجددد يعااد🤍🤍🤍
130,المكان تحفهههه والقاعده رايقه، وخدمه ممتازه وناس زوق والاوردرات فريش♥♥
131,حاجة تحفة ادمان بجد 😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
132,الحاجه كلها تحفه ووصلت سخنه وفريش بجد تسلم ايديكم ❤️🌹
133,the order was delivered after 2 hours cold and not as requested
134,رجل توصيل وصل متاخر جدا جدا والكميه قليله
135,Vanilla ice cream scoop is too small
136,Excellent service and great quality Thanks a lot
137,"Very late delivery, almost 90 mins"
138,To7faa
139,الاوردر متأخر تاعتين و نص و لما وصل كان الاوردر كولو مقلوب على بعضو و كان شكلو سيئ جدا
140,جه وحش اوي المرة دي .. وحش بجد .. المفروض انه مشروب ساقع .. انا جالي كإنه طالع من غلاية .. وحش اوي
141,Never received the order
142,الي وصلي غير الي موجود في الصوره تماما حتت كيك وعليهم شويه شيكولاته مش طاجن نوتيلا ابدا ده
143,فرع مدينتي والتجمع ممتتازين و شباب متعاونين جدا
144,First the order got wrong i recieved wrong pancakes toppings + the packaging of waffle and crepe us very bad they are messy and all around the bag + support attitude is very bad
145,Missing item ( ice cream vanilla is missed )
146,اتأخر اكتر من ساعة ونص
147,المشروبات بارده
148,فرع التجمع سيء جدا فى التعامل مع اوردرات الابليكيشن ولت يوجد متابعه حقيقيه لمندوب التوصيل خدمه أسوأ مايمكن
149,ماشي حاله.. بس غالي.. و الوافل كان محروق سنة.. معتقدش انه كل شوية هطلب منه.. مرة و خلاص
150,تاخر جدا
151,كانت تجربة خيال بالدقي سوكوجيل من عالم تاني❤️❤️❤️❤️❤️❤️
152,"ال كوالتي كانت تحفه والاكل كان سخن وطازه ,شكرا choco jail 😍❤️❤️❤️"
153,المكان حلو جدا والحاجه جميله كوالتي عالي انصح الجميع بالتجربه
154,الاكل كان حلو جداا و الكوالتي بصراحه عاليه اووي بجد من احسن المطاعم اللي جربتها ♥️♥️
155,حاجتهم بجد تحفة و دايما في تفوق و كل اوردر احلي من اللي قبله ربنا يرزقكم❤️❤️❤️❤️🫶
156,الطعم تحفة بجد ولا أطيب من كدا ولمعاملة جميلة جدا
157,المطعم تحفه و كوالتي الشوكولاته رهيبه و القعده عندهم رايقة اوووي ❤
158,best dessert in Cairo ... highly recommended.
159,اسوء مطعم طلبت منه الاوردر ب ٥٢٠ جنيه كميات متواضعة جدا والطعم سئ و الوافل ناشف
160,Much lower quality than expected and overpriced
161,Food didn’t arrive
162,Wasn’t delivered
163,"Worst coffee ever, it appears to be a 3 in 1 instant coffee instead of actual latte with espresso... Also it took them 1:45 hour to prepare and deliver a cup of coffee which tastes so bad. (it costs 132 egp btw)"
164,الاوردر لم يصل
165,رول البستاشيو كان تحفه والتوصيل سريع شكرا جدا ❤️❤️❤️
166,كواليتي عالية جداً وبراند ظهر ماشاء الله بفترة صغيرة كنت عميلهم من اول فرع ليهم فرع شبرا ومن ساعتها ماعاد طلبت من غيرهم🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
167,جميل جميل جدا تسلم اديكون بيعدل المزاج. 😍😍😍😍😍😍😍😍😍😍😍😂😂😂😂😂😂😂😂
168,الكوالتى تحفه والسعر مقابل لى الطعم ❤️❤️❤️❤️
169,ما شاء الله حاجاتهم دايماً تحفة بجد و عندهم كواليتي كونترول رائع كل اوردر زي اللي قبله و خامات نضيفة جداً ربنا يباركلكوا❤️❤️❤️❤️❤️
170,الشوكوجيل رول تحفه جداا فعلا تسلم ايدكو جوده مقابل سعر تحفه
171,الحاجه تحفه والسعر حلو مقابل الكواليتي انصح بالتجربه ❤️🌹🌹
172,حاجتهم جميلة وتحفة انصح به بشدة و سعر مقابل جودة
173,Order never came
174,الحاجه حمضانه و رميتها
175,Didn’t get the order after waiting over 2 hours
176,الاورد وصل مبهدل ومقلوب الشوكلاته في جهة والموز بجهة وكلشيء مقلوب فوق بعضه وطالعه بره الباكيت سيء سيء
177,So bad molten cake
178,الاوردر جاي سيء جدا وغير المعتاد وحقيقي مضايقه جدا انا كنت بحب المكان ولكن بقالي مرتين بطلب والاوردر يجي فيه حاجات غلط حقيقي دفعت فلوس اوردر فالارض يعني جاي اقل من العادي سيء سيء جدا
179,طعم مبقاش حلو زي الاول
180,الاوردر بارد و الطعم مش حلو خالص لا انصح
181,عصير المانجا سيرب مش طبيعي و مقرف جدا و غير مناسب للأسعار
182,I received the order rotten and hag green stuff in it!!! الاكل بايظ و مقرف جدا
183,had a price on the app and paid a different price upfront
184,البان كيك حلو بس المولتن كيك وحشة جدا
185,perfect
186,Where is my order
187,جايلي اوردر مختلف يا مطعم وسخ مش اول مره يحصل القرف بتاعكوا دا
188,الكريب مكانش بالفراولة زي ما طلبت بدلوه بحاجة تانية
189,مطعم رائع والحاجات جميله والرول فسدق رائع ❤️❤️🌹
190,بجد مطعم تحفه وذوق والمولتن نوتيلا خيال هى و الرول كاب وخاماتهم محترمه جداا
191,بجد مطعم تحفه وذوق والمولتن نوتيلا خيال هى و الرول كاب وخاماتهم محترمه جداا و التوصيل سريع
192,الكريم بافس حلوة اوي و المولتن الوتس تحفه شكرا ❤️❤️❤️
193,الطعم تحفة وصوص البيستاشيو خطيير و التوصيل ممتاز
194,شكرا لاهتمامكم بالاوردر مافيش احلا من شوكوجيل 😍😍
195,very tasty and fresh waffle .. keep going Choco 🌹🌹
196,الاوردر بيجي بعد ساعتين
197,Very bad taste
198,تجربة سيئة جدا حدا جدا ،، موز عفن و نوع شيكولاتة رديئة.. و فرابيه قطعة واحدة و من غير شاليموه … اخر مرة و اسف اني جربتهم
199,التغليف اكتر من ممتاز و طاجن النوتيلا حلو جدا انما الايسكريم اللى بيجى مع طاجن النوتيلا سيئ جدا و الدليفرى اللى وصل الاوردر بيتكلم فى التليفون باسلوب غريب و قليل الذوق
200,حاجتكم حلوه ومميزه انا جربت محلات كتيره بس بجد انتو طعمكو تحفه شكرا لأهتمامكم 💙😋😍
201,Hair in food
202,الحاجه طعمها تحفه خامات محترمه جداا توصيل سريع ربنا يوفقكم و دائما للاحسن❤️
203,كل حاجة حلوة جدا من عندكم والتوصيل سريع 😍😍
204,الاكل كان ممتاز ووصل بسرعة ❤️بتمنى يكون موجود فرع بالشيخ زايد
205,طعم يجنن والبساشو هاايل بجد واحلى حاجة انو الطعم ما بيتغيرش هوة هوة كل مرة يجنن 😍😍😍😍😍😍
206,روعه بجد .. واخير شوكو فتح مدينيتي بالتوفيق
207,فاكهه غير طازجه و لا يوجد توازن فى مكونات الطلب كريم شانتيه كثير ايس كريم قليل جدا الفاكهه غير طازجه
208,الاوردر مجاش بقاله اكتر من تلت ساعات و مكتوب أنه تم التوصيل ومحدش اتواصل معايا خالص
209,مكنش عليها ice cream 💔
210,"I love the fruit cup ,its perfect ❤️"
211,I didn't get my order
212,رول البستاشيو حلو وعجينه الوافل تحفه شكرا ❤️❤️❤️
213,مافيش احلا وأروع من كدا تسلم اديكم 🤩😍🤩😍
214,prices are so expensive
215,احسن كوالتى فى الطعام واحسن مولتن نوتيلا واحسن مينى بأن كيك وشوكو رول جامد جدا
216,جربت كذا حاجه كلوا رائع والمولتن كيك تحفه 🌹❤️
217,كلو كان جميل بصراحة بالاخص المولتن 😍❤️❤️❤️
218,المكان جامد جدااا والطعم ولا اروووع طعم عمرى ما دوقته فى مكان تانى قبل كده
219,جامد 🤩🤩🤩🤩🤩 الحاجات هنا تحفة 😍😍😍😍
220,حاجتهم حلوووه اوييي بجد تقريبا جربت كل حاجه من عندهم ما عدا الطاجن حجربو قريبا 💙❤🤩😋😋
221,الطلب وصل بعد ساعتين و ربع
222,اكواب شوكو جل رول نصها قاضي
223,All item is done without the instruction as i called web chat to call the restaurant to remove the order bill and because the order is gift however he received it
224,الاوردر وصل بعد ساعتين ونص
225,i didn’t even receive the order and contact the restaurant multiple time but no one answered
226,Third time i order the lotus molten cake and it’s the best!
227,a very bad experience i don't recommend it at all
228,"Perfect taste, but late delivery makes me re-think about ordering again."
229,كوباية شوكو جيل جت مفتوحه ومتاكل منها مش مليانه للاخر زي ممتعودة عليها
230,مكنتش حلوة ومفيهاش شوكولاته خالص
231,Wrong order
232,good portions not too sugary fast delivery
233,حلو جدا جدا كل مره حلو …استمروا ….انتوا اكتشاف والله
234,الكنافة كانت جميلة جدا وطعم الوافل تحفة 😍😍
235,رول البستاشيو كان تحفه والتوصيل جيد شكرا ❤️❤️❤️
236,بجد احلى مطعم اكلت من عنده ديزيرت واحلى تجربه من شوكوجيل
237,بوكس رمضان كان هايل بصراحة تسلم ايديكو 😍😍😍😍
238,تسلم ايديكم بجد حاجة حلوووة excellent 🌹😋🌹🌹
239,الغفت الصغيره محشيه كنافه جاااامده طررش 😋😋😋❤❤❤
