,comment
121,ناقص ملاعق و شوك، غير كاف بالنسبة لعدد الوجبات.
122,Bsjsjsjsja
123,طالباها بالفراخ جت ٣ قطع فراخ بالعدد
124,Got charged different prices than what was on the application (after my order confirmation even).
125,الاكل كان سئ جدا وبارد والاوردر جالي بعد ساعتين الا ربع البطاطس و الوان تون طريين اويي والنودلز مفيهاش طعم وبارده
126,The food was delicious but delivery was slow (more than 1.5 hours).
127,الرز مكنتش طازه
128,Uncompleted order
129,V good
130,I love Peking ❤️
131,This time they brought all a bigger sweet and saur sauce
132,انا بس كتبت اني عاوزه صوص sweet and sour اضافي او نبدل الصوص التاني بال sweet and sour جالي عليه صغيره جداً
133,Items of order can’t be delivered !!
134,ديما عند حسن ظنى الاكل كله تحفه كل مرة
135,Everything was awful! From the delivery timing to the food taste.
136,The estimated delivery time was an hour after 30 min it was changed to be delivered in an hour and a half
137,Food wasnt hot
