,comment
81,Not 4 pieces they are only three pieces
82,الفراخ ريحتها نتنه و فيها حاجات زرقاء تجربة سيئة جدا و الاكل اترمى
83,البرجر جيد لكن الدجاج مش انظف حاجة
84,keep going apache with your amazing quality team
85,فراخ سيئه جددا زي ما يكون مسلوقه وبعدين مقليه .. مافيش لا تتبيله ولا نيله .. طلبناها حار جتلنا مش حاره خالص وطعم بابريكا اوفر في الصدور فقط دا غير أن الاوردر جه منغير البيبسي. . لا بجد خساره ال٤٠٠ جنيه ال ادفعوا بجد
86,"No gloves, meal without sauce, no tissues"
87,رائع
88,الطلب ناقص
89,للاسف انتظرت الاكل اكتر من ساعتين و موصلش و حاولت اكلمهم محدش رد عليا
90,الاكل حلو جدا
91,مفيش بطاطس مش فاهم هوا بالمزاج ولا ايه
92,خدمة سئ جدا
93,smallest portions ever. a kids meal that's what it should say. absolute disgrace.
94,الدجاج اسوء ما جربت
95,المفروض أن اللورد كان 15قطعه وصل لنا 14 قطعه بس وكان معناه أن واحد هياخد اقل من الباقيين وكنت طالبه الاوردر يكون عادى مش حار بس جه شويه عادى وشويه حار وده ضايقنا جدا
96,البطاطس قليل جدا بلنسبه للحجم الكبير
97,was late
98,الفراخ كأنها معموله في البيت تتبيله ضعيفة ومن بره محروقه ومن جوه مش مستويه كويس الكولسلو ناشف
99,الفراخ مش نظيفة و كلها توابل و الطعم وحش اوي و البطاطس شربة زيت و الكول سلو حمضان
100,"Order took too long to be delivered, ordered large fries but received a small one, the follow up on the order isn't that smooth because the hotline is busy most of the time, the chicken tasted okay, but overall it wasn't a good experience"
101,بصراحة المطعم اكله حلو اوي كل مرة 🥰♥️
102,حلو اوي بصراحه 🥰♥️
103,جميل جدا.. من زمان مدقتش فراخ كرسبي كده
104,de awl mara aktb review le mt3m bs bgd al akl khateer w ndeef gedn hwa order kan na2s fries lelasaf bs gher keda akl helw awee
105,بجد من احلي مطاعم الفرايد تشيكن اللي جربتها حقيقي شابوو
106,"Worst place i ever ate in, I order around 2/3 PM and the order came nearly 10PM!!! Also the order was literally the worst thing I ever tasted, the sandwich was filled with water as if a bottle of water collapsed on it! The bread was sobbing with wate..."
107,"i had the best service ever the fried chicken was amazing also they followed my notes. to add ,they’re friendly and nice"
108,they rejected the order as they don't have most of the items I ordered which was the regular stuff because I was using a promo code and because of their rejection the promo code expired on nothing!!
109,احلي فرايد تشكين فعلا
110,Delicious food with high quality and reasonable price
111,شغال
112,Very good food
113,اسوا خدمة توصيل و فريق غير محترم و غير محترف ف التعامل
114,بجد الاكل حلو جدا .. سخن والمكونات كلها مظبوطه هو بصل كان ناقص البصل المكرمل بس باقي المميزات يخلينا نتغاضي عن الموضوع دا 😅 تم التواصل معايا من مدير الفرع عشان لو اي مشكلة قابلتني اتواصل معاه يعني مشوفتش أهتمام كدة والاوردر جيه بسرعه ومتأخرش .. شكر...
115,اكلكم ممتاز جداااا احسن فرايد تشيكن في مصر ربنا يعينكم و الدليفري بطيء شوية بس ذوق جدا استمروا على كدة و ياريت مستواكم ماينزلش زي مطاعم كتير قبلكم
116,السكالا اسبايسي طعمه فوق الوصف الاتشكن جميله جدا
117,ناس محترمة جدا وافضل جودة فرايد تشيكن شوفتها لحد دلوقتي
118,نشكر مستر بوده ومستر صبحي علي الأداء والكولتي العظيم هذا بجد اطعم فريد تشكن ونشكر مستر سيد مدير الفرع علي المجهود الجامد ❤️❤️
119,love the cheese fries w el geronimo sandwich
120,Nice
121,وحشة جدااا جدااااا
122,احلي فرايد تشكين في مصر كلها كلتها بجد ❤️❤️🥰
123,الاكل سخن والدليفري سريع وذوق جدا والمطعم بيتابع الاوردر معاك، الفراخ كانت مقرمشة والكمية حلوة جدا للسعر والتتبيلة كويسة. في بعض القطع الطبقة البروست كانت سميكة لدرجة اني كنت باكل عجين بزيت قبل ما اوصل للفراخ.
124,Good
125,الاكل حلو وكل حاجه لاكن المفروض ميكونش عليه لحمه مفرومه كان طعمها وحش جدا
126,صراااحة طعام لذيذ نكهة ومذاق وشكل... بدون مبالغه أفضل بروستد فراخ ذقته من وقت جيت مصر... وفوق دا حسن تعامل واهتمام كبير بالعميل يدل على الاحترافية في العمل.. اهنيكم صررراحة. وتجربه سأكررها قريبآ...
127,الاوردر جه ناقص و كلمتهم و جابو الحاجه ال ناقصه
128,الميلك تشيك كله واقع فالكيس و جاي من غير استرتش
129,حلو جدا والخدمة كويسه جدا
130,اقسم بالله اكل تحفة ،، شكررررا بجد على الطعم و الجودة
131,حقيقي من أجمل المرات اللي اكلت فيها فرايد تشيكن في حياتي
132,البطاطس جاني من غير جبنه وانا طالبه بجبنه
133,It's simple it's amazing ❤️
134,gamed
135,من احسن المطاعم طعم الدجاج فوق الروعه والفريز عليها توابل جميل جداا بجد من احسن مطاعم فريد تشيكن 🔥💖
136,الفراخ عليها كمية خلطة عجين مخلياها تخينه جدا تحس ان كلها فراخ، لما اكلها الاقيها قطعة فراخ رقيقه.
137,من احسن المطاعم الفريد تشيكن ف مصر بجد الاكل طعم حلو اووي ومفيش اي زفاره خالص بجد استمرو ❤️‍🔥✨💥
138,الاكل زفر جدا زي ريحة سمك بسبب الزيت وطعمه وحش بصراحة حادق كأني عاملة فراخ في البيت وانا ال متبلاها مش حلوة بصراحة وكمان الدبوس كله اسود من جوة والصدر تقريبا شبه مش موجود هو قطعة لحمة فيه 2 سم بس متعتبرش قطعة خالص انا جبت عشان التقييم كويس بس اتصدمت
139,يوجد رائحة ذفارة فى الفراخ و طعم الفراخ مش حلو و الأرز يوجد به رز ناشف مش مستوى كويس و كميتة قليلة جدا
140,كان غالب عليه طعم التوم اوى
141,👍👍👍👍
142,"The best fried chicken sandwiches in egypt ,everything was absolutely amazing except that the double sandwich came with only 1 mozzarella stick and one onion ring and they are supposed to be 2 of each, but anyway the taste was great and the chicken p..."
